Name,Price,Producer,MPN,EAN,UPC,Width,Depth,Height,Motherboard,Power Supply,Supported GPU Length,Supported CPU Cooler Height,80mm Fans,120mm Fans,140mm Fans,200mm Fans,120mm Radiator Support,140mm Radiator Support,240mm Radiator Support,280mm Radiator Support,360mm Radiator Support,"Disk 2.5""","Disk 3.5""","Disk 2.5""/3.5""","Disk 5.25""",Primary Color(s),Window,Dust Filter,Cable Management,Noise Isolation,Image URL
"Thermaltake Core P7, Tempered Glass - black",$302.47 USD,Thermaltake,CA-1I2-00F1WN-00,4.71796E+12,,570 mm,333 mm,608 mm,E-ATX,ATX,280 mm,180 mm,0/0,0/12,0/9,0/0,0,0,0,0,0,7,7,0,,black,TRUE,FALSE,TRUE,FALSE,https://m.media-amazon.com/images/I/41n3eUusB7L._AC_UY218_.jpg
Antec DA601 Midi-Tower - black,$95.74 USD,Antec,0-761345-80018-1,7.61346E+11,,220 mm,480 mm,500 mm,E-ATX,ATX,400 mm,160 mm,0/0,7-Feb,0/2,0/0,1,0,0,0,2,4,0,0,,black,TRUE,TRUE,TRUE,FALSE,https://m.media-amazon.com/images/I/41j2+IlM7vS._AC_UY218_.jpg
Antec Dark Fleet DF500 Midi-Tower - black Window,$68.72 USD,Antec,0-761345-80002-0,7.61346E+11,,200 mm,470 mm,480 mm,ATX,ATX,380 mm,165 mm,0/0,7-Jan,0/4,0/0,1,0,0,0,1,6,2,0,,red black,TRUE,TRUE,TRUE,FALSE,https://m.media-amazon.com/images/I/41j2+IlM7vS._AC_UY218_.jpg
Antec Dark Fleet DF500 RGB Midi-Tower - black Tempered Glass,$77.88 USD,Antec,0-761345-80003-7,7.61346E+11,,200 mm,470 mm,480 mm,ATX,ATX,380 mm,165 mm,0/0,7-Mar,0/4,0/0,1,0,0,0,1,6,2,0,,black,TRUE,TRUE,TRUE,FALSE,https://m.media-amazon.com/images/I/71qn3MW6LML._AC_UY218_.jpg
"Antec GX200 Blue Midi-Tower, Window - black",$17.39 USD,Antec,0-761345-15202-0,7.61345E+11,,185 mm,450 mm,412 mm,ATX,ATX,380 mm,158 mm,0/0,3-Feb,0/0,0/0,,,,,,1,4,0,,black,TRUE,TRUE,FALSE,FALSE,https://m.media-amazon.com/images/I/71lKUIIkZWL._AC_UY218_.jpg
"Antec New Gaming NX210 Midi-Tower, RGB, Tempered Glass - black",$67.08 USD,Antec,0-761345-81020-3,7.61346E+11,,220 mm,395 mm,455 mm,ATX,ATX,310 mm,155 mm,0/0,4-Apr,0/0,0/0,1,0,1,0,0,3,1,0,,black,TRUE,FALSE,TRUE,FALSE,https://m.media-amazon.com/images/I/71lKUIIkZWL._AC_UY218_.jpg
"Antec New Gaming NX400 Midi-Tower, RGB, Tempered Glass - black",$83.77 USD,Antec,0-761345-81040-1,7.61346E+11,,230 mm,425 mm,465 mm,ATX,ATX,330 mm,180 mm,0/0,6-Jan,0/5,0/0,1,0,1,0,1,4,1,0,,black,TRUE,FALSE,TRUE,FALSE,https://m.media-amazon.com/images/I/71lKUIIkZWL._AC_UL320_.jpg
Antec P101 Silent Midi-Tower - black,$116.81 USD,Antec,0-761345-81103-3,7.61346E+11,,232 mm,506 mm,527 mm,E-ATX,ATX,290 mm,180 mm,0/0,4-Apr,0/3,0/0,0,1,0,0,1,2,0,0,,black,FALSE,TRUE,TRUE,TRUE,https://m.media-amazon.com/images/I/41j2+IlM7vS._AC_UY218_.jpg
Antec P110 Luce Midi-Tower - black,$31.18 USD,Antec,0-761345-11611-4,7.61345E+11,,230 mm,518 mm,489 mm,ATX,ATX,390 mm,165 mm,0/0,6-Feb,0/4,0/0,1,0,0,1,1,6,8,0,,black,TRUE,TRUE,TRUE,FALSE,https://m.media-amazon.com/images/I/41j2+IlM7vS._AC_UY218_.jpg
Antec P110 Silent Midi-Tower - black,$123.51 USD,Antec,0-761345-11610-7,7.61345E+11,,230 mm,518 mm,489 mm,ATX,ATX,390 mm,165 mm,0/0,6-Feb,0/4,0/0,1,0,0,1,1,6,8,0,,black,FALSE,TRUE,TRUE,TRUE,https://m.media-amazon.com/images/I/41j2+IlM7vS._AC_UY218_.jpg
"Antec P120 Crystal Midi-Tower - Tempered Glass, black",$130.56 USD,Antec,0-761345-81200-9,7.61346E+11,,234 mm,476 mm,485 mm,E-ATX,ATX,450 mm,185 mm,0/0,0/7,0/6,0/0,1,0,0,0,2,3,2,0,,black,TRUE,TRUE,TRUE,FALSE,https://m.media-amazon.com/images/I/81sBYrNSEFL._AC_UY218_.jpg
