Name,Price,Producer,MPN,EAN,UPC,Socket,Chipset,Unlocked,Form Factor,Memory Type,Memory Capacity,RAM Slots,SATA,VGA,DVI,Display Port,HDMI,WiFi,Integrated Graphics,Image URL
Gigabyte B365M DS3H,$257.42 USD,Gigabyte,B365M DS3H,4.72E+12,8.90E+11,1151,B365,FALSE,Micro-ATX,DDR4,64 GB,4,6,0,0,0,0,FALSE,FALSE,https://m.media-amazon.com/images/I/71vYAi+1ywL._AC_UY218_.jpg
"Gigabyte B450 Aorus M, AMD B450",$71.8 USD,Gigabyte,B450 AORUS M,4.72E+12,8.90E+11,AM4,B450,TRUE,Micro-ATX,DDR4,64 GB,4,6,0,0,0,1,FALSE,FALSE,https://m.media-amazon.com/images/I/614A5RiY2XL._AC_UY218_.jpg
Gigabyte F2A88XN-WIFI,$68.18 USD,Gigabyte,GA-F2A88XN-WIFI,4.72E+12,1.68E+11,FM2+,A88X,FALSE,Mini-ITX,DDR3,64 GB,2,4,0,1,0,2,TRUE,FALSE,https://m.media-amazon.com/images/I/51AIWOgwwvL._AC_UY218_.jpg
Gigabyte H270M-DS3H,$108.02 USD,Gigabyte,GA-H270M-DS3H,4.72E+12,8.90E+11,1151,H270,FALSE,Micro-ATX,DDR4,64 GB,4,6,0,0,0,0,FALSE,FALSE,https://m.media-amazon.com/images/I/819loXNzHQL._AC_UY218_.jpg
Gigabyte Q270M-D3H,$45.0 USD,Gigabyte,GA-Q270M-D3H,4.72E+12,8.90E+11,1151,Q270,FALSE,Micro-ATX,DDR4,64 GB,4,6,0,0,0,0,FALSE,FALSE,https://m.media-amazon.com/images/I/51Kg+GKUL8L._AC_UY218_.jpg
"Gigabyte X570 Aorus Elite, AMD X570",$179.89 USD,Gigabyte,X570 Aorus Elite,4.72E+12,8.90E+11,AM4,X570,TRUE,ATX,DDR4,128 GB,4,6,0,0,0,0,FALSE,FALSE,https://m.media-amazon.com/images/I/614A5RiY2XL._AC_UY218_.jpg
"Gigabyte X570 Aorus Pro, AMD X570",$253.87 USD,Gigabyte,X570 Aorus Pro,4.72E+12,8.90E+11,AM4,X570,TRUE,ATX,DDR4,128 GB,4,6,0,0,0,0,FALSE,FALSE,https://m.media-amazon.com/images/I/71gBmoz6PGL._AC_UY218_.jpg
"Gigabyte X570 Gaming X, AMD X570",$158.86 USD,Gigabyte,X570 Gaming X,4.72E+12,8.90E+11,AM4,X570,TRUE,ATX,DDR4,128 GB,4,6,0,0,0,1,FALSE,FALSE,https://m.media-amazon.com/images/I/81A2DlnZuBL._AC_UY218_.jpg
"Gigabyte X570 I Aorus Pro WiFi, AMD X570",$202.38 USD,Gigabyte,X570 I Aorus Pro WiFi,4.72E+12,8.90E+11,AM4,X570,TRUE,Mini-ITX,DDR4,64 GB,2,4,0,0,1,0,FALSE,FALSE,https://m.media-amazon.com/images/I/614A5RiY2XL._AC_UY218_.jpg
Gigabyte X99-UD3,$211.06 USD,Gigabyte,GA-X99-UD3,4.72E+12,8.18E+11,2011-V3,X99,FALSE,ATX,DDR4,32 GB,4,10,0,0,0,0,FALSE,FALSE,https://m.media-amazon.com/images/I/51Kg+GKUL8L._AC_UY218_.jpg
Gigabyte Z270-Gaming K3,$211.07 USD,Gigabyte,GA-Z270-Gaming K3,4.72E+12,8.90E+11,1151,Z270,TRUE,ATX,DDR4,64 GB,4,6,0,0,0,0,FALSE,FALSE,https://m.media-amazon.com/images/I/81a9LHsLZAL._AC_UY218_.jpg
Gigabyte Z270-HD3P,$108.8 USD,Gigabyte,GA-Z270-HD3P,4.72E+12,8.90E+11,1151,Z270,TRUE,ATX,DDR4,64 GB,4,6,0,0,0,0,FALSE,FALSE,https://m.media-amazon.com/images/I/51SqSDjZlNL._AC_UY218_.jpg
Gigabyte Z270X-Ultra Gaming,$143.68 USD,Gigabyte,GA-Z270X-Ultra Gaming,4.72E+12,,1151,Z270,TRUE,ATX,DDR4,64 GB,4,6,0,0,0,0,FALSE,FALSE,https://m.media-amazon.com/images/I/81kDPsjQ2FL._AC_UY218_.jpg
